"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-01","2004","11","01","","10.4","","6.6","","8.5","","9.5","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-02","2004","11","02","","7.5","","3.4","","5.5","","12.5","","0.0","","","","","","14.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-03","2004","11","03","","8.2","","4.1","","6.2","","11.8","","0.0","","","","","","6.7","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-04","2004","11","04","","6.6","","-0.8","","2.9","","15.1","","0.0","","","","","","9.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-05","2004","11","05","","10.1","","-0.7","","4.7","","13.3","","0.0","","","","","","8.2","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-06","2004","11","06","","9.9","","2.3","","6.1","","11.9","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-07","2004","11","07","","10.2","","0.1","","5.2","","12.8","","0.0","","","","","","8.8","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-08","2004","11","08","","4.7","","1.0","","2.9","","15.1","","0.0","","","","","","7.2","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-09","2004","11","09","","2.5","","-4.1","","-0.8","","18.8","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-10","2004","11","10","","4.3","","-6.9","","-1.3","","19.3","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-11","2004","11","11","","9.5","","-3.5","","3.0","","15.0","","0.0","","","","","","0.2","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-12","2004","11","12","","4.9","","-0.9","","2.0","","16.0","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-13","2004","11","13","","0.8","","-0.5","","0.2","","17.8","","0.0","","","","","","12.4","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-14","2004","11","14","","0.5","","-1.0","","-0.3","","18.3","","0.0","","","","","","0.8","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-15","2004","11","15","","0.7","","-3.3","","-1.3","","19.3","","0.0","","","","","","3.2","","9","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-16","2004","11","16","","0.6","","-2.2","","-0.8","","18.8","","0.0","","","","","","0.0","","6","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-17","2004","11","17","","-0.4","","-3.9","","-2.2","","20.2","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-18","2004","11","18","","7.1","","-7.3","","-0.1","","18.1","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-19","2004","11","19","","9.5","","0.8","","5.2","","12.8","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-20","2004","11","20","","7.5","","2.1","","4.8","","13.2","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-21","2004","11","21","","6.3","","-0.3","","3.0","","15.0","","0.0","","","","","","0.2","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-22","2004","11","22","","7.6","","1.5","","4.6","","13.4","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-23","2004","11","23","","6.3","","-2.2","","2.1","","15.9","","0.0","","","","","","0.4","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-24","2004","11","24","","11.6","","-2.8","","4.4","","13.6","","0.0","","","","","","43.7","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-25","2004","11","25","","14.7","","5.5","","10.1","","7.9","","0.0","","","","","","74.2","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-26","2004","11","26","","0.9","","-1.5","","-0.3","","18.3","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-27","2004","11","27","","3.1","","-6.3","","-1.6","","19.6","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-28","2004","11","28","","10.3","","-5.5","","2.4","","15.6","","0.0","","","","","","19.2","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-29","2004","11","29","","11.7","","5.6","","8.7","","9.3","","0.0","","","","","","5.4","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-11-30","2004","11","30","","4.9","","-0.5","","2.2","","15.8","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-01","2004","12","01","","8.7","","-3.1","","2.8","","15.2","","0.0","","","","","","17.9","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-02","2004","12","02","","5.7","","2.4","","4.1","","13.9","","0.0","","","","","","0.0","","0","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-03","2004","12","03","","-1.7","","-8.6","","-5.2","","23.2","","0.0","","","","","","0.0","","1","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-04","2004","12","04","","3.9","","-9.6","","-2.9","","20.9","","0.0","","","","","","3.4","","1","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-05","2004","12","05","","6.7","","-5.2","","0.8","","17.2","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-06","2004","12","06","","-5.7","","-12.2","","-9.0","","27.0","","0.0","","","","","","0.0","","1","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-07","2004","12","07","","-1.7","","-14.3","","-8.0","","26.0","","0.0","","","","","","5.2","","2","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-08","2004","12","08","","1.5","","-7.4","","-3.0","","21.0","","0.0","","","","","","9.7","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-09","2004","12","09","","-0.9","","-3.1","","-2.0","","20.0","","0.0","","","","","","0.0","","3","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-10","2004","12","10","","1.0","","-7.2","","-3.1","","21.1","","0.0","","","","","","4.6","","3","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-11","2004","12","11","","6.6","","-2.1","","2.3","","15.7","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-12","2004","12","12","","6.5","","1.4","","4.0","","14.0","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-13","2004","12","13","","4.4","","-2.0","","1.2","","16.8","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-14","2004","12","14","","0.1","","-0.7","","-0.3","","18.3","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-15","2004","12","15","","-4.6","","-10.9","","-7.8","","25.8","","0.0","","","","","","0.2","","2","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-16","2004","12","16","","4.9","","-12.9","","-4.0","","22.0","","0.0","","","","","","0.4","","3","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-17","2004","12","17","","6.6","","-4.1","","1.3","","16.7","","0.0","","","","","","","M","3","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-18","2004","12","18","","-0.1","","-12.5","","-6.3","","24.3","","0.0","","","","","","7.3","","3","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-19","2004","12","19","","2.4","","-9.3","","-3.5","","21.5","","0.0","","","","","","18.3","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-20","2004","12","20","","3.3","","-0.5","","1.4","","16.6","","0.0","","","","","","0.4","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-21","2004","12","21","","-0.8","","-7.3","","-4.1","","22.1","","0.0","","","","","","0.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-22","2004","12","22","","4.4","","-9.5","","-2.6","","20.6","","0.0","","","","","","0.4","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-23","2004","12","23","","12.0","","-0.4","","5.8","","12.2","","0.0","","","","","","18.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-24","2004","12","24","","11.8","","1.2","","6.5","","11.5","","0.0","","","","","","6.6","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-25","2004","12","25","","-2.6","","-8.9","","-5.8","","23.8","","0.0","","","","","","0.2","","3","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-26","2004","12","26","","-4.9","","-11.0","","-8.0","","26.0","","0.0","","","","","","15.0","","3","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-27","2004","12","27","","-6.9","","-10.7","","-8.8","","26.8","","0.0","","","","","","16.0","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-28","2004","12","28","","1.3","","-18.6","","-8.7","","26.7","","0.0","","","","","","3.6","","16","","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-29","2004","12","29","","0.9","","-16.9","","-8.0","","26.0","","0.0","","","","","","0.8","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-30","2004","12","30","","-2.6","","-14.9","","-8.8","","26.8","","0.0","","","","","","0.2","","","M","","","",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2004-12-31","2004","12","31","","6.9","","-15.2","","-4.2","","22.2","","0.0","","","","","","7.5","","","M","","","",""
