"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-09","2014","11","09","","10.6","","-3.4","","3.6","","14.4","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-10","2014","11","10","","9.9","","0.7","","5.3","","12.7","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-11","2014","11","11","","10.4","","0.0","","5.2","","12.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-12","2014","11","12","","10.5","","3.4","","7.0","","11.0","","0.0","","","M","","M","1.2","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-13","2014","11","13","","9.7","","-0.5","","4.6","","13.4","","0.0","","","M","","M","0.4","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-14","2014","11","14","","3.1","","-3.0","","0.1","","17.9","","0.0","","","M","","M","","M","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-15","2014","11","15","","-1.0","","-6.5","","-3.8","","21.8","","0.0","","","M","","M","2.2","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-16","2014","11","16","","1.9","","-8.5","","-3.3","","21.3","","0.0","","","M","","M","1.0","","1","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-17","2014","11","17","","7.8","","0.2","","4.0","","14.0","","0.0","","","M","","M","34.5","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-18","2014","11","18","","13.1","","-3.7","","4.7","","13.3","","0.0","","","M","","M","11.6","","0","T","17","","32",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-19","2014","11","19","","1.6","","-6.3","","-2.4","","20.4","","0.0","","","M","","M","0.2","","1","","20","","35",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-20","2014","11","20","","5.2","","-5.2","","0.0","","18.0","","0.0","","","M","","M","20.4","","5","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-21","2014","11","21","","0.2","","-7.6","","-3.7","","21.7","","0.0","","","M","","M","0.2","","1","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-22","2014","11","22","","4.6","","-9.5","","-2.5","","20.5","","0.0","","","M","","M","0.9","","2","","17","","41",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-23","2014","11","23","","7.7","","-0.5","","3.6","","14.4","","0.0","","","M","","M","0.7","","1","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-24","2014","11","24","","15.4","","0.5","","8.0","","10.0","","0.0","","","M","","M","25.0","","0","T","18","","43",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-25","2014","11","25","","13.4","","4.9","","9.2","","8.8","","0.0","","","M","","M","1.4","","0","T","19","","41",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-26","2014","11","26","","6.5","","0.2","","3.4","","14.6","","0.0","","","M","","M","","M","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-27","2014","11","27","","0.8","","-4.8","","-2.0","","20.0","","0.0","","","M","","M","12.9","","8","","31","","48",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-28","2014","11","28","","0.1","","-7.4","","-3.7","","21.7","","0.0","","","M","","M","0.0","","8","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-29","2014","11","29","","-3.0","","-10.5","","-6.8","","24.8","","0.0","","","M","","M","0.0","","8","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-11-30","2014","11","30","","9.7","","-10.0","","-0.2","","18.2","","0.0","","","M","","M","0.0","","9","","24","","33",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-01","2014","12","01","","10.2","","-2.2","","4.0","","14.0","","0.0","","","M","","M","0.0","","3","","30","","33",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-02","2014","12","02","","-2.2","","-9.5","","-5.9","","23.9","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-03","2014","12","03","","10.4","","-5.3","","2.6","","15.4","","0.0","","","M","","M","49.3","","1","","19","","39",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-04","2014","12","04","","4.2","","-9.6","","-2.7","","20.7","","0.0","","","M","","M","0.0","","0","T","23","","33",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-05","2014","12","05","","-5.5","","-12.7","","-9.1","","27.1","","0.0","","","M","","M","0.2","","1","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-06","2014","12","06","","8.3","","-6.6","","0.9","","17.1","","0.0","","","M","","M","35.7","","1","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-07","2014","12","07","","1.8","","-15.6","","-6.9","","24.9","","0.0","","","M","","M","2.2","","1","","36","","39",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-08","2014","12","08","","-4.4","","-16.3","","-10.4","","28.4","","0.0","","","M","","M","0.0","","1","","31","","32",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-09","2014","12","09","","2.1","","-4.6","","-1.3","","19.3","","0.0","","","M","","M","11.2","","2","","36","","33",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-10","2014","12","10","","7.7","","1.7","","4.7","","13.3","","0.0","","","M","","M","100.6","","2","","35","","33",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-11","2014","12","11","","10.3","","4.1","","7.2","","10.8","","0.0","","","M","","M","13.8","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-12","2014","12","12","","6.8","","2.1","","4.5","","13.5","","0.0","","","M","","M","5.3","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-13","2014","12","13","","5.3","","0.1","","2.7","","15.3","","0.0","","","M","","M","0.8","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-14","2014","12","14","","3.4","","-0.8","","1.3","","16.7","","0.0","","","M","","M","0.3","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-15","2014","12","15","","2.2","","-1.4","","0.4","","17.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-16","2014","12","16","","-0.2","","-2.0","","-1.1","","19.1","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-17","2014","12","17","","3.5","","-2.3","","0.6","","17.4","","0.0","","","M","","M","","M","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-18","2014","12","18","","2.7","","-0.8","","1.0","","17.0","","0.0","","","M","","M","9.3","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-19","2014","12","19","","0.2","","-2.2","","-1.0","","19.0","","0.0","","","M","","M","0.2","","0","T","33","","41",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-20","2014","12","20","","0.8","","-2.5","","-0.9","","18.9","","0.0","","","M","","M","0.2","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-21","2014","12","21","","-1.1","","-2.5","","-1.8","","19.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-22","2014","12","22","","-0.5","","-6.0","","-3.3","","21.3","","0.0","","","M","","M","","M","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-23","2014","12","23","","0.7","","-5.5","","-2.4","","20.4","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-24","2014","12","24","","8.1","","-0.8","","3.7","","14.3","","0.0","","","M","","M","14.4","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-25","2014","12","25","","14.7","","3.7","","9.2","","8.8","","0.0","","","M","","M","54.2","","0","T","17","","41",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-26","2014","12","26","","7.5","","1.1","","4.3","","13.7","","0.0","","","M","","M","0.2","","0","T","32","","39",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-27","2014","12","27","","6.6","","-2.2","","2.2","","15.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-28","2014","12","28","","7.3","","-1.2","","3.1","","14.9","","0.0","","","M","","M","13.1","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-29","2014","12","29","","1.5","","-10.6","","-4.6","","22.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-30","2014","12","30","","-10.6","","-17.4","","-14.0","","32.0","","0.0","","","M","","M","0.2","","1","","","","<31",""
"-64.95","45.60","FUNDY PARK (ALMA) CS","8101746","2014-12-31","2014","12","31","","","M","-18.1","E","","M","","M","","M","","M","","M","","M","2","","28","","32",""
